2023-07/20/-16:39:23.554   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=270, rssi=96, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628101D4750, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=23.0, temp2=20.75, temp3=23.31, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:43:51.835   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=843, rssi=91, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628103D4150, voltage=3766, quantity=48, warningcode=0, sensornum=3, temp1=35.81, temp2=35.25, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:43:51.863   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=843, rssi=91, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628103D4150, voltage=3766, quantity=48, warningcode=0, sensornum=3, temp1=35.81, temp2=35.25, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:43:51.874   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=843, rssi=91, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628103D4150, voltage=3766, quantity=48, warningcode=0, sensornum=3, temp1=35.81, temp2=35.25, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:13.519   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=856, rssi=79, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280E4F1F50, voltage=3794, quantity=52, warningcode=0, sensornum=3, temp1=36.31, temp2=35.93, temp3=35.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:13.620   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=856, rssi=79, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280E4F1F50, voltage=3794, quantity=52, warningcode=0, sensornum=3, temp1=36.31, temp2=35.93, temp3=35.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:13.644   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=856, rssi=79, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280E4F1F50, voltage=3794, quantity=52, warningcode=0, sensornum=3, temp1=36.31, temp2=35.93, temp3=35.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:31.493   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=87, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F541750, voltage=3754, quantity=47, warningcode=0, sensornum=3, temp1=35.25, temp2=34.87, temp3=34.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:31.499   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=87, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F541750, voltage=3754, quantity=47, warningcode=0, sensornum=3, temp1=35.25, temp2=34.87, temp3=34.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:31.530   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=87, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F541750, voltage=3754, quantity=47, warningcode=0, sensornum=3, temp1=35.25, temp2=34.87, temp3=34.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:44:31.542   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=87, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F541750, voltage=3754, quantity=47, warningcode=0, sensornum=3, temp1=35.25, temp2=34.87, temp3=34.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:45:04.201   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=78, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815402950, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.81, temp2=35.12, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:45:04.305   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=78, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815402950, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.81, temp2=35.12, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:45:04.325   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=78, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815402950, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.81, temp2=35.12, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:45:04.332   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=78, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815402950, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.81, temp2=35.12, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:25.512   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=10, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155B2850, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.5, temp2=35.5, temp3=34.37, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:25.541   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=10, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155B2850, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.5, temp2=35.5, temp3=34.37, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:25.548   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=10, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155B2850, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.5, temp2=35.5, temp3=34.37, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:25.573   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=10, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155B2850, voltage=3762, quantity=48, warningcode=0, sensornum=3, temp1=34.5, temp2=35.5, temp3=34.37, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:57.634   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=93, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F1F1C50, voltage=3808, quantity=53, warningcode=0, sensornum=3, temp1=32.0, temp2=31.43, temp3=30.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:57.649   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=93, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F1F1C50, voltage=3808, quantity=53, warningcode=0, sensornum=3, temp1=32.0, temp2=31.43, temp3=30.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:59.624   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=1, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155F2C50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.68, temp2=36.87, temp3=36.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:59.627   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=1, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155F2C50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.68, temp2=36.87, temp3=36.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:59.714   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=1, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155F2C50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.68, temp2=36.87, temp3=36.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:47:59.754   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=1, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628155F2C50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.68, temp2=36.87, temp3=36.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:48:38.104   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815052D50, voltage=3758, quantity=47, warningcode=0, sensornum=3, temp1=35.43, temp2=35.37, temp3=33.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:48:38.108   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815052D50, voltage=3758, quantity=47, warningcode=0, sensornum=3, temp1=35.43, temp2=35.37, temp3=33.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:48:38.127   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815052D50, voltage=3758, quantity=47, warningcode=0, sensornum=3, temp1=35.43, temp2=35.37, temp3=33.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:49:35.093   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=97, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62813563E50, voltage=3792, quantity=51, warningcode=0, sensornum=3, temp1=28.31, temp2=31.62, temp3=35.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:49:35.118   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=97, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62813563E50, voltage=3792, quantity=51, warningcode=0, sensornum=3, temp1=28.31, temp2=31.62, temp3=35.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:49:35.119   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=97, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62813563E50, voltage=3792, quantity=51, warningcode=0, sensornum=3, temp1=28.31, temp2=31.62, temp3=35.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:49:35.120   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=97, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62813563E50, voltage=3792, quantity=51, warningcode=0, sensornum=3, temp1=28.31, temp2=31.62, temp3=35.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:24.138   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815422250, voltage=3774, quantity=49, warningcode=0, sensornum=3, temp1=25.12, temp2=25.0, temp3=24.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:24.155   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815422250, voltage=3774, quantity=49, warningcode=0, sensornum=3, temp1=25.12, temp2=25.0, temp3=24.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:24.155   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815422250, voltage=3774, quantity=49, warningcode=0, sensornum=3, temp1=25.12, temp2=25.0, temp3=24.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:24.156   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=82, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815422250, voltage=3774, quantity=49, warningcode=0, sensornum=3, temp1=25.12, temp2=25.0, temp3=24.81, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:29.550   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815302950, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=21.0, temp2=21.12, temp3=20.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:29.551   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815302950, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=21.0, temp2=21.12, temp3=20.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:29.552   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=874, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815302950, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=21.0, temp2=21.12, temp3=20.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:29.555   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62815302950, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=21.0, temp2=21.12, temp3=20.56, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:35.961   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=868, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F134C50, voltage=3630, quantity=32, warningcode=0, sensornum=3, temp1=35.31, temp2=35.37, temp3=34.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:35.964   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=868, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F134C50, voltage=3630, quantity=32, warningcode=0, sensornum=3, temp1=35.31, temp2=35.37, temp3=34.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:35.965   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=868, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F134C50, voltage=3630, quantity=32, warningcode=0, sensornum=3, temp1=35.31, temp2=35.37, temp3=34.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:35.967   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=868, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F134C50, voltage=3630, quantity=32, warningcode=0, sensornum=3, temp1=35.31, temp2=35.37, temp3=34.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:51:36.256   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=868, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F134C50, voltage=3630, quantity=32, warningcode=0, sensornum=3, temp1=35.31, temp2=35.37, temp3=34.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
